idTree,dateObservation,presenceMarceno,oldLeavesMarceno,newLeavesMarceno,fruitDamageMarceno
avocado_24,2022-04-01,1,BA,BA,NA
avocado_25,2022-04-01,1,BA,AL,NA
avocado_26,2022-04-01,1,BA,BA,BA
avocado_27,2022-04-01,1,AL,ME,ME
avocado_28,2022-04-01,1,BA,BA,NA
avocado_29,2022-04-01,1,ME,BA,BA
avocado_30,2022-04-01,1,NA,BA,BA
avocado_01,2023-04-29,1,BA,BA,BA
avocado_02,2023-04-29,1,BA,BA,BA
avocado_03,2023-04-29,1,ME,ME,ME
avocado_04,2023-04-29,1,ME,AL,ME
avocado_05,2023-04-29,1,ME,ME,ME
avocado_06,2023-04-29,1,BA,BA,BA
avocado_07,2023-04-29,1,BA,NA,NA
avocado_08,2023-04-29,1,BA,BA,NA
avocado_09,2023-04-29,1,BA,NA,ME
avocado_10,2023-04-29,1,BA,BA,BA
avocado_11,2023-04-29,1,BA,BA,BA
avocado_12,2023-04-29,1,BA,BA,NA
avocado_13,2023-04-29,1,BA,BA,BA
avocado_14,2023-04-29,1,BA,BA,NA
avocado_15,2023-04-29,1,BA,BA,BA
avocado_16,2023-04-29,1,BA,ME,BA
avocado_17,2023-04-29,1,ME,BA,BA
avocado_18,2023-04-29,1,AL,ME,NA
avocado_19,2023-04-29,1,ME,AL,NA
avocado_20,2023-04-29,1,BA,ME,NA
avocado_21,2023-04-29,1,BA,BA,NA
avocado_22,2023-04-29,1,BA,BA,NA
avocado_23,2023-04-29,1,BA,ME,NA
avocado_24,2023-04-29,1,AL,AL,BA
avocado_25,2023-04-29,1,BA,AL,NA
avocado_26,2023-04-29,1,AL,AL,AL
avocado_27,2023-04-29,1,AL,AL,NA
avocado_28,2023-04-29,1, BA,BA,BA
avocado_29,2023-04-29,1,BA,BA,BA
avocado_30,2023-04-29,1,ME,ME,BA
avocado_01,2023-05-30,1,ME,BA,BA
avocado_02,2023-05-30,1,BA,AL,BA
avocado_03,2023-05-30,1,BA,BA,BA
avocado_04,2023-05-30,1,ME,ME,BA
avocado_05,2023-05-30,1,BA,AL,AL
avocado_06,2023-05-30,1,ME,AL,BA
avocado_07,2023-05-30,1,BA,BA,NA
avocado_08,2023-05-30,1,BA,ME,BA
avocado_09,2023-05-30,1,BA,AL,BA
avocado_10,2023-05-30,1,ME,AL,NA
avocado_11,2023-05-30,1,ME,ME,NA
avocado_12,2023-05-30,1,ME,AL,NA
avocado_13,2023-05-30,1,ME,ME,NA
avocado_14,2023-05-30,1,AL,BA,NA
avocado_15,2023-05-30,1,BA,BA,NA
avocado_16,2023-05-30,1,ME,BA,NA
avocado_17,2023-05-30,1,ME,NA,NA
avocado_18,2023-05-30,1,BA,BA,NA
avocado_19,2023-05-30,1,BA,BA,BA
avocado_20,2023-05-30,1,ME,ME,NA
avocado_21,2023-05-30,1,ME,ME,NA
avocado_22,2023-05-30,1,ME,BA,NA
avocado_23,2023-05-30,1,ME,BA,NA
avocado_24,2023-05-30,1,ME,BA,NA
avocado_25,2023-05-30,1,ME,BA,NA
avocado_26,2023-05-30,1,AL,AL,ME
avocado_27,2023-05-30,1,ME,ME,BA
avocado_28,2023-05-30,1,BA,BA,BA
avocado_29,2023-05-30,1,BA,BA,BA
avocado_30,2023-05-30,1,BA,BA,NA
avocado_01,2023-09-05,1,BA,BA,BA
avocado_02,2023-09-05,1,BA,BA,BA
avocado_03,2023-09-05,1,NA,NA,BA
avocado_04,2023-09-05,1,ME,NA,BA
avocado_05,2023-09-05,1,NA,NA,BA
avocado_06,2023-09-05,0,BA,NA,NA
avocado_07,2023-09-05,1,BA,BA,NA
avocado_08,2023-09-05,0,BA,NA,BA
avocado_09,2023-09-05,0,NA,NA,NA
avocado_10,2023-09-05,0,NA,NA,NA
avocado_11,2023-09-05,0,NA,NA,NA
avocado_12,2023-09-05,0,NA,NA,NA
avocado_13,2023-09-05,1,BA,NA,NA
avocado_14,2023-09-05,0,NA,NA,NA
avocado_15,2023-09-05,1,NA,NA,BA
avocado_16,2023-09-05,0,NA,NA,NA
avocado_17,2023-09-05,1,NA,NA,BA
avocado_18,2023-09-05,1,BA,NA,BA
avocado_19,2023-09-05,1,BA,BA,BA
avocado_20,2023-09-05,0,NA,NA,NA
avocado_21,2023-09-05,1,BA,BA,NA
avocado_22,2023-09-05,1,BA,BA,NA
avocado_23,2023-09-05,0,BA,BA,NA
avocado_24,2023-09-05,1,BA,BA,NA
avocado_25,2023-09-05,1,ME,ME,ME
avocado_26,2023-09-05,1,ME,ME,ME
avocado_27,2023-09-05,1,BA,BA,AL
avocado_28,2023-09-05,1,BA,BA,NA
avocado_29,2023-09-05,1,BA,BA,BA
avocado_30,2023-09-05,1,BA,BA,BA
avocado_01,2023-10-05,1,NA,NA,BA
avocado_02,2023-10-05,1,ME,NA,ME
avocado_03,2023-10-05,1,NA,NA,ME
avocado_04,2023-10-05,1,NA,NA,ME
avocado_05,2023-10-05,1,BA,NA,NA
avocado_06,2023-10-05,1,BA,NA,BA
avocado_07,2023-10-05,0,NA,NA,NA
avocado_08,2023-10-05,1,NA,NA,NA
avocado_09,2023-10-05,1,NA,NA,ME
avocado_10,2023-10-05,1,BA,NA,AL
avocado_11,2023-10-05,1,BA,NA,BA
avocado_12,2023-10-05,1,BA,NA,ME
avocado_13,2023-10-05,1,NA,BA,ME
avocado_14,2023-10-05,0,NA,NA,NA
avocado_15,2023-10-05,1,NA,NA,BA
avocado_16,2023-10-05,0,NA,NA,NA
avocado_17,2023-10-05,1,NA,BA,ME
avocado_18,2023-10-05,1,BA,BA,ME
avocado_19,2023-10-05,1,BA,BA,ME
avocado_20,2023-10-05,1,BA,BA,BA
avocado_21,2023-10-05,1,BA,BA,BA
avocado_22,2023-10-05,1,NA,NA,BA
avocado_23,2023-10-05,1,BA,BA,BA
avocado_24,2023-10-05,1,NA,NA,BA
avocado_25,2023-10-05,1,BA,BA,BA
avocado_26,2023-10-05,1,BA,BA,AL
avocado_27,2023-10-05,1,BA,BA,ME
avocado_28,2023-10-05,1,BA,BA,BA
avocado_29,2023-10-05,1,BA,BA,BA
avocado_30,2023-10-05,1,NA,NA,BA
